cod_ibge,ente,populacao,score,classificacao,anos_entregues,eorcam_raw,lliq_raw,rrestos_nproc_pct,n_anos_cronicos,qsiconfi,ccauc,autonomia_media,eorcam_norm,lliq_norm,rproc_norm,autonomia_norm,contrib_eorcam,contrib_lliq,contrib_qsiconfi,contrib_ccauc,contrib_autonomia,contrib_rproc,pen_lliq_parcial,pen_situacional,score_base,score_bruto,dias_atraso,decay_fator,dado_suspeito,dado_suspeito_lliq,dado_defasado,lliq_parcial,autonomia_critica,n_licitacoes,valor_homologado_total,n_dispensa,valor_hom_dispensa,ano_ultima_licitacao,pct_dispensa,alerta_dispensa
2501534,Baraúna,5010,82.0,🟢 Risco Baixo,6,100.253,0.143724,0.15,0,1.0,0.0,0.0237325221046553,1.0,0.67,1.0,0.3593,15.0,23.45,15.0,10.0,3.593,15.0,0.0,0.0,82.043,82.043,53.0,1.0,False,False,False,False,True,23.0,4579427.279999999,2.0,342660.67,2026.0,0.0748,False
2507705,Juazeirinho,17520,82.0,🟢 Risco Baixo,6,89.5175,0.265843,0.03,0,1.0,1.0,0.0387868061830763,0.9759,0.8653,1.0,0.705,14.6385,30.2855,15.0,0.0,7.05,15.0,0.0,0.0,81.974,81.974,53.0,1.0,False,False,False,False,True,129.0,12283828.25,70.0,1083115.78,2026.0,0.0882,False
2513406,Santa Luzia,15418,81.7,🟢 Risco Baixo,6,79.498,0.164031,2.39,0,1.0,0.0,0.109993577087527,0.4749,0.7024,1.0,0.9984,7.1235,24.584,15.0,10.0,9.984,15.0,0.0,0.0,81.69149999999999,81.69149999999999,53.0,1.0,False,False,False,False,False,116.0,62726378.38,66.0,10809621.78,2026.0,0.1723,False
2515609,Serra da Raiz,3156,81.2,🟢 Risco Baixo,6,96.2175,0.165614,1.51,0,1.0,0.0,0.012536523608556,1.0,0.705,1.0,0.1568,15.0,24.675,15.0,10.0,1.568,15.0,0.0,0.0,81.243,81.243,53.0,1.0,False,False,False,False,True,1.0,3135.0,1.0,3135.0,2025.0,1.0,True
2501203,Areial,7434,80.8,🟢 Risco Baixo,6,92.094,0.112941,0.34,0,1.0,0.15,0.0318269519246202,1.0,0.6207,1.0,0.5547,15.0,21.7245,15.0,8.5,5.547,15.0,0.0,0.0,80.7715,80.7715,53.0,1.0,False,False,False,False,True,20.0,10108979.04,0.0,0.0,2026.0,0.0,False
2505303,Curral Velho,2316,80.7,🟢 Risco Baixo,6,94.5215,0.454604,0.0,3,1.0,0.0,0.0098152708288949,1.0,1.0,0.3,0.1245,15.0,35.0,15.0,10.0,1.245,4.5,0.0,0.0,80.745,80.745,53.0,1.0,False,False,False,False,True,6.0,367566.95999999996,0.0,0.0,2025.0,0.0,False
2514800,São José dos Cordeiros,3462,80.5,🟢 Risco Baixo,6,94.294,0.105204,1.93,0,1.0,0.05,0.0284549236794034,1.0,0.6083,1.0,0.4718,15.0,21.2905,15.0,9.5,4.718,15.0,0.0,0.0,80.5085,80.5085,53.0,1.0,False,False,False,False,True,30.0,7901589.62,7.0,4067269.02,2026.0,0.5147,True
2509701,Monteiro,33886,80.4,🟢 Risco Baixo,6,102.322,0.068327,0.05,0,1.0,0.2,0.0593138850291297,1.0,0.5208,1.0,0.922,15.0,18.228,15.0,8.0,9.22,15.0,0.0,0.0,80.44800000000001,80.44800000000001,53.0,1.0,False,False,False,False,True,84.0,46141974.86,7.0,866764.4099999999,2026.0,0.0188,False
2502607,Igaracy,5719,80.3,🟢 Risco Baixo,6,85.4175,0.193721,0.38,0,1.0,0.0,0.0185262358512074,0.7709,0.75,1.0,0.2513,11.5635,26.25,15.0,10.0,2.513,15.0,0.0,0.0,80.3265,80.3265,53.0,1.0,False,False,False,False,True,5.0,1291318.26,3.0,580144.5,2025.0,0.4493,True
2515930,Sertãozinho,5332,79.9,🟡 Risco Médio,6,109.9135,0.780286,0.13,0,1.0,1.0,0.017410787258911,0.8362,1.0,1.0,0.2311,12.543,35.0,15.0,0.0,2.311,15.0,0.0,0.0,79.854,79.854,53.0,1.0,False,False,False,False,True,135.0,3335963054.0,81.0,3329328216.08,2026.0,0.998,True
