cod_ibge,ente,populacao,score,classificacao,anos_entregues,eorcam_raw,lliq_raw,rrestos_nproc_pct,n_anos_cronicos,qsiconfi,ccauc,autonomia_media,eorcam_norm,lliq_norm,rproc_norm,autonomia_norm,contrib_eorcam,contrib_lliq,contrib_qsiconfi,contrib_ccauc,contrib_autonomia,contrib_rproc,pen_lliq_parcial,pen_situacional,score_base,score_bruto,dias_atraso,decay_fator,dado_suspeito,dado_suspeito_lliq,dado_defasado,lliq_parcial,autonomia_critica
2506004,Esperança,32599,62.6,🟡 Risco Médio,6,103.875,-0.011737,1.22,0,1.0,1.0,0.0475838044330383,1.0,0.4768,1.0,0.8259,20.0,14.304,15.0,0.0,8.259,5.0,0.0,0.0,62.563,62.563,33.0,1.0,False,False,False,False,True
2517209,Vieirópolis,4967,62.0,🟡 Risco Médio,6,77.6045,0.085125,0.0,0,1.0,0.45,0.0158661441187209,0.3802,0.7128,1.0,0.2052,7.604,21.384,15.0,11.0,2.052,5.0,0.0,0.0,62.04,62.04,33.0,1.0,False,False,False,False,True
2508901,Mamanguape,46966,61.9,🟡 Risco Médio,6,97.5835,0.000591,0.31,1,1.0,1.0,0.0461586589652647,1.0,0.5015,0.75,0.8093,20.0,15.045,15.0,0.0,8.093,3.75,0.0,0.0,61.888000000000005,61.888000000000005,33.0,1.0,False,False,False,False,True
2505238,Cuité de Mamanguape,6441,61.8,🟡 Risco Médio,6,95.608,0.064963,0.09,4,1.0,1.0,0.035462444876203,1.0,0.6624,0.1,0.6406,20.0,19.872,15.0,0.0,6.406,0.5,0.0,0.0,61.778,61.778,33.0,1.0,False,False,False,False,True
2505808,Duas Estradas,3360,61.6,🟡 Risco Médio,6,93.8735,0.060446,0.01,1,1.0,1.0,0.0226861323414575,1.0,0.6511,0.75,0.3359,20.0,19.533,15.0,0.0,3.359,3.75,0.0,0.0,61.642,61.642,33.0,1.0,False,False,False,False,True
2511202,Pedras de Fogo,31356,61.6,🟡 Risco Médio,5,96.4458,0.062057,0.89,3,0.8333333333333334,1.0,0.0447798344959155,1.0,0.6551,0.3,0.7922,20.0,19.653,12.5,0.0,7.922,1.5,0.0,0.0,61.574999999999996,61.574999999999996,33.0,1.0,False,False,False,False,True
2513604,Santana dos Garrotes,6618,61.5,🟡 Risco Médio,6,98.8955,0.045928,0.54,0,1.0,1.0,0.0213215467021916,1.0,0.6148,1.0,0.3066,20.0,18.444,15.0,0.0,3.066,5.0,0.0,0.0,61.510000000000005,61.510000000000005,33.0,1.0,False,False,False,False,True
2504801,Coremas,14987,61.4,🟡 Risco Médio,6,83.827,0.061125,0.15,0,1.0,1.0,0.0450661081442343,0.6913,0.6528,1.0,0.7959,13.826,19.584,15.0,0.0,7.959,5.0,0.0,0.0,61.369,61.369,33.0,1.0,False,False,False,False,True
2512804,Riacho dos Cavalos,8788,61.3,🟡 Risco Médio,6,94.237,0.013263,3.52,0,1.0,1.0,0.0310316492515056,1.0,0.5332,1.0,0.5352,20.0,15.996,15.0,0.0,5.352,5.0,0.0,0.0,61.348,61.348,33.0,1.0,False,False,False,False,True
2504157,Casserengue,7052,61.1,🟡 Risco Médio,6,105.1935,0.067986,0.01,3,1.0,1.0,0.0281879815254714,0.9936,0.67,0.3,0.4652,19.872,20.1,15.0,0.0,4.652,1.5,0.0,0.0,61.124,61.124,33.0,1.0,False,False,False,False,True
2512408,Puxinanã,14942,60.9,🟡 Risco Médio,6,113.9815,0.090917,0.07,0,1.0,1.0,0.0280569927398605,0.7006,0.7273,1.0,0.5089,14.012,21.819,15.0,0.0,5.089,5.0,0.0,0.0,60.92,60.92,33.0,1.0,False,False,False,False,True
2501401,Baía da Traição,9741,60.8,🟡 Risco Médio,6,107.785,0.106337,0.01,5,1.0,1.0,0.0285108310088777,0.9072,0.7658,0.0,0.4732,18.144,22.974,15.0,0.0,4.732,0.0,0.0,0.0,60.849999999999994,60.849999999999994,33.0,1.0,False,False,False,False,True
2501351,Assunção,4383,60.3,🟡 Risco Médio,6,96.168,0.014816,1.14,1,1.0,1.0,0.0313967384715784,1.0,0.537,0.75,0.5442,20.0,16.11,15.0,0.0,5.442,3.75,0.0,0.0,60.302,60.302,33.0,1.0,False,False,False,False,True
2500577,Algodão de Jandaíra,3143,60.1,🟡 Risco Médio,6,84.5475,0.180003,0.36,6,1.0,1.0,0.0159583608055797,0.7274,0.95,0.0,0.2067,14.548,28.5,15.0,0.0,2.067,0.0,0.0,0.0,60.115,60.115,33.0,1.0,False,False,False,False,True
2500536,Alcantil,5806,59.9,🟡 Risco Médio,6,108.3415,0.075167,0.01,2,1.0,1.0,0.0253923161088914,0.8886,0.6879,0.5,0.3977,17.772,20.637,15.0,0.0,3.977,2.5,0.0,0.0,59.885999999999996,59.885999999999996,33.0,1.0,False,False,False,False,True
2516755,Tenório,3082,59.8,🟡 Risco Médio,6,87.51,0.088449,0.15,1,1.0,1.0,0.0147906482048177,0.8755,0.7211,0.75,0.1884,17.51,21.633,15.0,0.0,1.884,3.75,0.0,0.0,59.777,59.777,33.0,1.0,False,False,False,False,True
2509404,Mogeiro,14435,59.7,🟡 Risco Médio,6,107.5735,0.052631,0.14,3,1.0,1.0,0.0328741131676928,0.9142,0.6316,0.3,0.6013,18.284,18.948,15.0,0.0,6.013,1.5,0.0,0.0,59.745,59.745,33.0,1.0,False,False,False,False,True
2508307,Lagoa Seca,29209,59.6,🟡 Risco Médio,6,111.403,0.00603,0.03,0,1.0,1.0,0.0490127766547763,0.7866,0.5151,1.0,0.8413,15.732,15.453,15.0,0.0,8.413,5.0,0.0,0.0,59.598,59.598,33.0,1.0,False,False,False,False,True
